日期,开盘,收盘,最高,最低,涨跌,成交量,成交额,振幅
2025-09-08,66.14,64.74,66.14,64.55,-2.18%,"312,098","19,514,122.00",2.46%
2025-09-05,67.73,66.18,0.00,66.01,-2.60%,"181,735","11,883,245.05",-100%
2025-09-04,68.58,67.95,68.68,67.45,-1.18%,"725,566","48,941,057.61",1.82%
2025-09-03,68.69,68.76,68.91,68.69,0.01%,"591,219","40,415,121.28",0.32%
2025-09-02,69.24,68.75,69.24,68.59,-0.95%,"473,202","32,420,095.71",0.95%
2025-09-01,69.25,69.41,69.49,69.25,0.16%,"152,600","10,569,857.40",0.35%
2025-08-29,69.57,69.30,69.71,69.23,-0.22%,"431,436","29,862,508.22",0.69%
2025-08-28,69.60,69.45,69.66,69.35,-0.39%,"364,385","25,253,083.92",0.45%
2025-08-27,69.80,69.72,70.39,69.48,0.04%,"567,187","39,561,047.26",1.31%
2025-08-26,70.20,69.69,70.40,69.66,-0.92%,"369,883","25,695,413.89",1.06%
2025-08-25,70.20,70.34,70.69,70.03,0.06%,"304,719","21,349,326.43",0.94%
2025-08-22,70.33,70.30,70.33,70.24,-0.09%,"49,846","3,484,021.35",0.13%
2025-08-21,70.06,70.36,70.55,69.93,-0.30%,"398,264","27,930,947.41",0.89%
2025-08-20,70.89,70.57,70.95,70.45,-0.49%,"211,274","14,920,551.27",0.71%
2025-08-19,71.03,70.92,71.03,70.85,0.08%,"250,528","17,819,758.10",0.25%
2025-08-18,71.31,70.86,71.31,70.85,-0.99%,"90,844","6,452,689.60",0.65%
2025-08-15,71.74,71.57,71.74,71.53,-0.21%,"209,519","15,118,386.80",0.29%
2025-08-14,71.51,71.72,71.85,71.51,0.43%,"341,862","24,754,800.70",0.48%
2025-08-13,71.45,71.41,71.45,71.30,-0.15%,"159,928","11,586,830.00",0.21%
2025-08-12,72.13,71.52,72.17,71.46,-0.67%,"292,649","20,997,682.09",0.99%
2025-08-11,72.07,72.00,72.08,71.94,-0.12%,"71,752","5,226,820.40",0.19%
2025-08-08,72.19,72.09,72.23,72.01,-0.04%,"269,079","19,675,942.00",0.31%
2025-08-07,72.18,72.12,72.28,72.07,-0.10%,"93,022","6,803,797.10",0.29%
2025-08-06,72.26,72.19,72.42,72.16,-0.26%,"143,000","10,450,710.00",0.36%
2025-08-05,72.40,72.38,72.47,72.33,-0.33%,"124,246","9,124,729.00",0.19%
2025-08-04,72.68,72.62,72.68,72.30,0.26%,"177,000","13,089,810.00",0.53%
2025-08-01,72.55,72.43,72.60,72.27,-0.07%,"110,104","8,086,005.52",0.46%
2025-07-31,73.62,72.48,73.62,72.33,-1.36%,"291,481","21,265,243.80",1.78%
2025-07-30,73.67,73.48,73.67,73.44,0.22%,"233,300","17,244,810.00",0.31%
2025-07-29,73.08,73.32,73.65,73.08,-0.46%,"251,580","18,438,528.80",0.78%
2025-07-28,73.69,73.66,73.69,73.65,-0.05%,"110,183","8,157,694.80",0.05%
2025-07-25,73.85,73.70,73.85,73.49,-0.19%,"288,406","21,370,344.81",0.49%
2025-07-24,73.81,73.84,73.85,73.79,0.04%,"416,673","31,033,751.17",0.08%
2025-07-23,73.38,73.81,73.82,73.20,0.70%,"464,450","34,652,165.60",0.85%
2025-07-22,73.07,73.30,73.31,73.07,0.25%,"205,900","15,336,770.00",0.33%
2025-07-21,72.92,73.12,73.28,72.92,0.41%,"114,641","8,547,851.80",0.49%
2025-07-18,72.21,72.82,73.26,72.19,-0.16%,"376,400","27,628,200.00",1.48%
2025-07-17,72.66,72.94,73.21,72.66,-0.05%,"340,820","25,236,860.22",0.76%
2025-07-16,72.61,72.98,73.29,72.19,-0.55%,"383,874","28,348,627.41",1.52%
2025-07-15,73.39,73.38,73.59,73.09,0.40%,"278,720","20,839,130.00",0.68%
